X_mean,X_std,X_max,X_min,X_sum_sq,Y_mean,Y_std,Y_max,Y_min,Y_sum_sq,Z_mean,Z_std,Z_max,Z_min,Z_sum_sq,is_accelerometer,is_gyroscope,label,motion
0.18848181,0.28860292,1.1116947,-0.3550601,35.64511,0.11989044,0.17206943,0.46396577,-0.23463671,13.194481,0.9236613,0.14043029,1.5083591,0.059852242,261.86127,1.0,0.0,1,DANGER — Light Snatching
-0.33644325,0.5715523,1.143005,-1.6797787,131.95981,0.32372206,0.22046575,0.8314766,-0.36770967,46.02034,0.7151397,0.24633744,1.3418497,0.06373736,171.63208,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.6329989,0.26828086,-0.02447319,-1.0926208,141.79868,0.250626,0.14357671,0.60612446,-0.041803267,25.028301,0.6996559,0.08003437,0.9092861,0.527902,148.77718,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.3856009,0.48742995,0.556765,-1.3968073,115.882805,0.24044664,0.109803066,0.5140441,-0.057404924,20.96139,0.83217984,0.09912249,1.0916114,0.6140782,210.70456,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.30222788,0.39418042,0.6824961,-1.078457,74.01597,0.40237504,0.09181303,0.5989813,0.24575672,51.10059,0.8328166,0.09454244,1.0086013,0.48242778,210.75652,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.042327505,0.46628696,1.2711834,-0.93151075,65.76454,0.38337195,0.17688997,0.8941891,-0.081266284,53.479237,0.84792566,0.12398359,1.2915726,0.42563468,220.30496,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.047021054,0.22016396,0.37291023,-0.41563123,15.204944,0.45540684,0.076422445,0.61469007,0.31142133,63.970737,0.88152504,0.047368955,1.0147196,0.7718232,233.79906,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.12821096,0.22097166,0.30989176,-0.5002779,19.579958,0.44619432,0.08565495,0.647117,0.17100641,61.927845,0.8809312,0.06221718,1.0789617,0.73878443,233.97322,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.14126854,0.23752986,0.3360016,-0.668011,22.91317,0.37478104,0.114078835,0.62610066,0.16591293,46.042446,0.9078032,0.07980256,1.0623353,0.64803475,249.1425,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.20081037,0.2254183,0.19833991,-0.6676133,27.341465,0.3228055,0.08108238,0.5543178,0.15245268,33.233322,0.917102,0.06121665,1.0513223,0.7198177,253.44707,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.1386556,0.21086109,0.2210694,-0.54891837,19.106333,0.30836073,0.10463787,0.56074196,0.13143633,31.810623,0.93695605,0.060073104,1.045923,0.78181136,264.44864,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.15915313,0.20372823,0.22718768,-0.5330108,20.050474,0.32243276,0.10510957,0.5709442,0.15051012,34.50327,0.9306804,0.06087131,1.0471466,0.78620124,260.9614,1.0,0.0,1,DANGER — Light Vigorous Shaking
-0.13575773,0.23035951,0.2400361,-0.5491172,21.4487,0.27551368,0.12961943,0.5690017,0.018156048,27.812695,0.9447105,0.06736403,1.0745718,0.7669286,269.10477,1.0,0.0,1,DANGER — Light Vigorous Shaking
0.027898926,0.549143,4.4108796,-3.018967,90.70091,0.08902103,0.6447074,3.2861376,-6.436556,127.07172,0.6990153,0.5264191,2.7652717,-2.3720639,229.72185,1.0,0.0,1,DANGER — Lowheight Free Fall
0.005732997,0.4967668,4.6812162,-4.2438498,74.04304,-0.060590263,0.22837332,1.6002407,-1.06723,16.747665,-0.20371957,0.95233655,1.3616271,-4.5148907,284.53397,1.0,0.0,1,DANGER — Lowheight Free Fall
0.05463976,0.4368693,5.1013293,-4.4223056,58.15208,-0.066398926,0.45982537,1.6305263,-6.89604,64.754456,-0.88323236,0.54364496,4.2604766,-4.1487103,322.6948,1.0,0.0,1,DANGER — Lowheight Free Fall
0.2220807,0.42621794,2.3231175,-3.6039832,69.29447,-0.28877655,0.7392826,4.3303323,-6.349569,188.9792,-0.4196811,0.684253,3.402997,-3.0246875,193.30031,1.0,0.0,1,DANGER — Lowheight Free Fall
-0.14048931,0.3111743,0.5690017,-1.2840317,34.97001,-0.044732455,0.119847625,0.21525699,-0.6846375,4.9093337,0.854747,0.4054392,1.304727,-0.56655437,268.49203,1.0,0.0,1,DANGER — Lowheight Free Fall
0.048261948,0.39872006,3.6908631,-2.33953,48.39207,-0.13672706,0.36057118,1.088751,-1.6960992,44.611763,0.048851192,0.97557515,3.5943925,-4.7127256,286.24,1.0,0.0,1,DANGER — Lowheight Free Fall
0.023491254,0.41021892,1.33359,-3.6353853,50.64942,-0.3132867,0.67117524,3.1811018,-3.65813,164.58743,-0.4747326,0.70917267,2.662683,-3.8328075,218.48907,1.0,0.0,1,DANGER — Lowheight Free Fall
0.08797245,0.3803567,2.6102645,-2.720608,45.72311,-0.17362954,0.6238371,3.5766497,-6.21853,125.79598,0.34099725,0.982812,4.615644,-5.3457556,324.65955,1.0,0.0,1,DANGER — Lowheight Free Fall
