window_id,dataset_name,danger_label,motion_description,x_mean,x_std,x_min,x_max,x_range,x_median,x_iqr,x_rms,y_mean,y_std,y_min,y_max,y_range,y_median,y_iqr,y_rms,z_mean,z_std,z_min,z_max,z_range,z_median,z_iqr,z_rms,mag_mean,mag_std,mag_min,mag_max,mag_range,mag_median,mag_iqr,mag_rms,xy_corr,xz_corr,yz_corr
10,fast_walking,0,SAFE — Fast Walking,0.6751271513866667,0.2856598465421091,0.033038806,1.3648851,1.331846294,0.628655075,0.44365691249999994,0.7330744972142574,-0.8442381768333332,0.2501492328049384,-1.6617297,-0.2270959,1.4346338,-0.8262225249999999,0.31715717500000007,0.8805184483562908,-0.07251436754368666,0.181202357481758,-0.517195,0.6013216,1.1185166,-0.079124885,0.24634559925,0.19517332773001464,1.1395551238410488,0.22851193392583538,0.7196895170199709,1.9108048827494797,1.1911153657295088,1.1048026972050247,0.30993004676205127,1.1622407600058233,0.23327605593930695,0.08178932584441233,-0.14199724670874564
11,fast_walking,0,SAFE — Fast Walking,0.6075357246833334,0.51345900263184,-0.9253925,1.8781185,2.803511,0.63365675,0.5902474325,0.7954494353195474,-0.5999045737180001,0.5346932560804443,-1.7273942,0.664753,2.3921472,-0.74479565,0.3962132825000001,0.8036058584067708,0.20572999333499997,0.4275528834668023,-0.48671058,1.3474479,1.83415848,0.0545599185,0.6389567195,0.4744747604650812,1.1814324687992532,0.3284292919353687,0.4202029385838165,2.4316347251830095,2.011431786599193,1.1050921995552778,0.23924055026451407,1.2262334517269808,-0.6594364400399702,-0.45809318829337997,0.7148351213546078
0,highheight_free_fall,1,DANGER — Highheight Free Fall,0.05858137311060001,0.6982100924997275,-7.7437305,3.5812385,11.324969,0.01498982875,0.24077412450000002,0.700663336092307,-0.10285408477766665,0.8834472296796942,-7.747095,5.0957313,12.842826299999999,-0.021215197,0.42294644750000004,0.8894143974459698,0.6483713273016666,0.8499677680223947,-5.97594,5.4382486,11.4141886,0.84136535,0.97665616,1.0690325461574575,0.9689145789372993,1.2190251040872093,0.022239075566963314,11.83584888005205,11.813609804485086,0.9442934694536086,0.4992370285472433,1.5571826051147872,0.7511982724840195,0.016196375772291192,-0.28519494262275297
1,highheight_free_fall,1,DANGER — Highheight Free Fall,0.12733849278499998,0.3696557582477207,-2.0751278,2.5648973,4.640025100000001,0.0009712797,0.27766364625,0.3909737476486788,-0.118972639883,0.2586713978335938,-1.0178859,1.04603,2.0639159,-0.0309968235,0.10750995955,0.2847198291266616,-0.8586855628302,0.6768202309268352,-7.929115,0.3708759,8.299990900000001,-0.98846447,0.539400635,1.09335562412459,0.9638683530242592,0.7073260714066337,0.006992831830311111,8.237621820780088,8.230628988949777,0.9935434323450355,0.34921914274843724,1.1955552572981476,-0.36006768639373615,0.3187736790528728,0.238086342778791
2,highheight_free_fall,1,DANGER — Highheight Free Fall,0.023914793380479995,0.627034711501905,-5.17894,5.8057594,10.9846994,0.055882998,0.12353225255,0.6274905949659393,-0.12657742706987998,0.5487464279562732,-5.0789976,2.5969114,7.675909000000001,0.0032579934,0.11613675600000001,0.5631558285576027,0.6179880140616666,0.8622905983363668,-4.971224,6.8906255,11.8618495,0.85757883,0.9725493064999998,1.060874291093517,0.8974032159307523,1.0153869526192583,0.008858691667613949,9.35405197038619,9.345193278718575,0.9898352427286449,0.6557194764666019,1.355117410231409,0.1280350621943328,0.22385958964600436,-0.2696869912118478
3,highheight_free_fall,1,DANGER — Highheight Free Fall,-0.12285898142849999,0.40949775243504144,-4.697736,0.94252366,5.64025966,-0.021674067499999998,0.32543605899999994,0.42753097965761383,-0.2516378760548333,0.7243194569408403,-7.966834,3.9179587,11.8847927,-0.016978276,0.41391049075,0.7667856912908987,0.8064316835199999,0.5993399309572679,-2.0213783,7.512046,9.5334243,0.94038227,0.5028169324999999,1.0047588830285423,1.0235276907376942,0.8559640846749281,0.021647978270335756,11.915116559034075,11.89346858076374,1.0052913862027206,0.5255475323555165,1.334272628798262,0.7607768695638972,-0.51511706646558,-0.5715206908069345
4,highheight_free_fall,1,DANGER — Highheight Free Fall,-0.019399998914666657,0.6617002473120691,-5.9926734,4.6152306,10.607904000000001,0.0132614095,0.055707100475,0.6619845747830856,-0.12443133463698001,0.4057000954848094,-2.9727738,2.318529,5.2913028,0.0018354893,0.0693126604,0.42435330152589074,0.17330266526923335,1.0688730741168748,-6.6302,2.5196218,9.1498218,0.26043299,0.9330403785,1.0828312252431025,0.8532247141027206,1.030936637903841,0.0031197318636640155,9.007696027101497,9.004576295237833,0.8989446432962152,0.8955984823476608,1.3382162620922466,0.2836292988996145,0.05306102307474625,-0.10118227516845865
5,highheight_free_fall,1,DANGER — Highheight Free Fall,-0.3486723383303334,0.9782074220711362,-7.27669,6.859422,14.136112,-0.145210135,0.7447268017500001,1.0384903274040642,-0.07265060360699999,0.4908378583962694,-5.315883,2.508808,7.8246910000000005,-0.020243916,0.06671238725,0.49618536197624546,-0.12324596507956666,0.863508342165714,-6.8621755,4.653271,11.5154465,0.00035944997,0.8173280375,0.872259264724757,0.9054749594447784,1.1249948427739342,0.0114186383479039,10.142078703364021,10.130660065016118,0.7230779488528727,0.7561769575538722,1.4441254441527829,0.24942778262393173,-0.4532313096947146,-0.006828587595541323
6,highheight_free_fall,1,DANGER — Highheight Free Fall,0.15404751214866666,0.3474558420671625,-0.7884497,3.0970821,3.8855318000000003,0.029421363,0.2260213755,0.38007393778815535,0.06647902419728001,0.28749852409587956,-1.0684536,1.1578878,2.2263414,0.0057053124,0.022381497544,0.29508449978867335,0.8859921893093333,0.769167721333498,-0.106764294,7.1928697,7.299633994000001,0.991974825,0.4774298000000001,1.173286471011454,0.9716264842810592,0.8149074660987379,0.010382847336052563,7.201112516779771,7.190729669443718,0.997958181328702,0.4899586660295763,1.2681215254303657,0.1568526269538658,0.35305359945343456,-0.09167120404760701
7,highheight_free_fall,1,DANGER — Highheight Free Fall,0.01157556668007999,0.4912562588708547,-3.1193068,5.3208847,8.4401915,0.032939383,0.0485486895,0.49139261860934913,0.08840368730432001,0.3162763863257072,-1.009106,1.4047611,2.4138671,0.007953786,0.012458382950000001,0.32839909329388833,0.74766395859598,0.6375449196060146,-0.2608383,7.14556,7.406398299999999,0.94634765,0.7556899675,0.9825807445186635,0.8543732709829416,0.7647378004445453,0.0028879806373847527,7.805027219674101,7.802139239036716,1.0031649427868894,0.4643163592377132,1.1466375144738865,0.12477474306198003,0.14652880238635158,0.035052087470198647
